Projekttraeger;47;47 - Internationaler Bund IB Darmstadt - Darmstadt;Frankfurter Str. 73, 64293 Darmstadt;047
Projekttraeger;48;48 - Internationaler Bund IB Frankfurt - Frankfurt;Kaiserstr. 72, 60329 Frankfurt;048
Projekttraeger;49;49 - Internationales Familienzentrum e. V. - Frankfurt;Wiesenhüttenplatz 33, 60329 Frankfurt;049
Projekttraeger;50;50 - Jobcenter Frankfurt - Frankfurt;Eschersheimer Landstr. 34, 60322 Frankfurt;050
Projekttraeger;51;51 - Jobcenter Groß-Gerau - Groß-Gerau;Wilhelm-Seipp-Str. 9, 64521 Groß-Gerau;051
Projekttraeger;52;52 - Joblinge gAG Frankfurt - Frankfurt;Eschersheimer Landstr. 34, 60322 Frankfurt;052
Projekttraeger;53;53 - Jugendberufshilfe Hephata - Schwalmstadt;Horschmühlenweg  2, 34613 Schwalmstadt;053
Projekttraeger;54;54 - Jugendwerkstatt Felsberg - Felsberg;Sälzerstraße 3A, 34587 Felsberg;054
Projekttraeger;55;55 - Jugendwerkstatt Gießen gGmbH - Gießen;Krofdorfer Weg 4, 35398 Gießen;055
Projekttraeger;56;56 - JUKO Marburg e. V. - Marburg;Neue Kasseler Str. 3, 35039 Marburg;056
Projekttraeger;57;57 - KIZ PROWINA pro Wirtschaft und neue Arbeit GmbH - Offenbach;Hermann-Steinhäuser-Str. 43-47, 63065 Offenbach;057
Projekttraeger;58;58 - Kommunales Jobcenter Lahn-Dill - Wetzlar;Eduard-Kaiser-Str. 38, 35576 Wetzlar;058
Projekttraeger;59;59 - Kommunales Kreisjobcenter Fulda - Fulda;Marquardstr 35, 36039 Fulda;059
Projekttraeger;60;60 - Kreis Offenbach - Dietzenbach;Werner-Hilpert-Str. 1, 63128 Dietzenbach;060
Projekttraeger;61;61 - Kreisausschuss des Lahn-Dill-Kreises / Abteilung Kinder- und Jugendhilfe - Wetzlar;Karl-Kellner-Ring 51, 35576 Wetzlar;061
Projekttraeger;62;62 - Kreisausschuss des Odenwaldkreises - Erbach;Michelstädter Str. 12, 64711 Erbach;062
Projekttraeger;63;63 - Kreisausschuss des Vogelsbergkreises - Lauterbach;Goldhelg 20, 36341 Lauterbach;063
Projekttraeger;64;64 - Lahn-Dill-Akademie - Dillenburg;Bahnhofstraße 10, 35683 Dillenburg;064
Projekttraeger;67;67 - Lernwerkstatt Offenbach - Offenbach;Ludwigstr. 68, 63067 Offenbach;067
Projekttraeger;68;68 - Kreisausschuss des Landkreises Darmstadt-Dieburg - Darmstadt;Jägertorstraße 207, 64289 Darmstadt;068
Projekttraeger;69;69 - Mädchentreff der Arbeiterwohlfahrt - Rüsselsheim;Paul-Hessemer-Straße 36, 65428 Rüsselsheim;069
Projekttraeger;70;70 - Magistrat der Stadt Kassel - Kassel;Obere Königsstr. 8, 34117 Kassel;070
Projekttraeger;71;71 - MainArbeit Kommunales Jobcenter - Offenbach;Berlinerstraße 190, 63067 Offenbach;071
Projekttraeger;72;72 - Neue Wege Kreis Bergstraße - Komm. Jobcenter - Heppenheim;Walther-Rathenau-Str. 2, 64646 Heppenheim;072
Projekttraeger;73;73 - Outlaw Kassel GmbH - Kassel;Holländische Str. 208, 34127 Kassel;073
Projekttraeger;74;74 - Paritätisches Bildungswerk Bundesverband - Frankfurt;Heinrich-Hoffmann-Str. 3, 60528 Frankfurt;074
Projekttraeger;75;75 - Planungsbüro proloco, Dr. Glatthaar - Bremen;Am Neuen Markt 19, 28199 Bremen;075
Projekttraeger;76;76 - Praxis GmbH - Marburg;Gisselberger Str. 33, 35037 Marburg;076
Projekttraeger;77;77 - Sprache und Bildung GmbH - Biedenkopf;Hospitalstr. 51, 35216 Biedenkopf;077
Projekttraeger;78;78 - SRH Berufliche Rehabilitation GmbH - Bad Hersfeld;Landecker Str. 2, 36251 Bad Hersfeld;078
Projekttraeger;79;79 - Stadt Rodgau, JiB - Rodgau;Hintergasse 15, 63110 Rodgau;079
Projekttraeger;81;81 - Stadtverwaltung Offenbach, Jugendamt - Offenbach;Berliner Str. 100, 63067 Offenbach;081
Projekttraeger;82;82 - Volkshochschule der Stadt Offenbach - Offenbach;Berliner Str. 100, 63067 Offenbach;082
Projekttraeger;83;83 - startHAUS gGmbH - Offenbach;Pirazzistr. 15, 63067 Offenbach;083
Projekttraeger;84;84 - Starthilfe Ausbildungsverbund Schwalm-Eder e.V. - Homberg;Bindeweg 32, 34576 Homberg;084
Projekttraeger;85;85 - Stiftung Beiserhaus - Knüllwald-Rengshausen;Niederbeisheimer Straße 28-34, 34593 Knüllwald-Rengshausen;085
Projekttraeger;86;86 - TERTIA Vermittlungagentur GmbH - Kelkheim;Industriestr. 2, 65779 Kelkheim;086
Projekttraeger;87;87 - Thomas Frankenbach - Fulda;Marienstraße 26, 36039 Fulda;087
Projekttraeger;88;88 - USG Professionals GmbH - München;Landsberger Straße 370a, 80687 München;088
Projekttraeger;89;89 - VC Coaching - Haag i. OB;Hauptstr. 44, 83527 Haag i. OB;089
Projekttraeger;90;90 - VbFF - Verein zur beruflichen Förderung von Frauen e. V. - Frankfurt;Walter-Kolb-Str. 1-7, 60594 Frankfurt;090
Projekttraeger;92;92 - Volkshochschule des Landkreises Fulda - Fulda;Gallasiniring 30, 36043 Fulda;092
Projekttraeger;93;93 - Volkshochschule Werra-Meißner - Witzenhausen;Steinstraße 23, 37213 Witzenhausen;093
Projekttraeger;94;94 - Bundesverband für Wohnen und Stadtentwicklung e. V. (vhw) - Berlin;Fritschestraße 27/28, 10585 Berlin;094
Projekttraeger;95;95 - VIA e. V. - Bad Hersfeld;Leinenweberstr. 1, 36251 Bad Hersfeld;095
Projekttraeger;96;96 - Volkshochschule Wiesbaden - Wiesbaden;Alcide-de-Gasperi-Str. 4/5, 65197 Wiesbaden;096
