AQBGebietskoerperschaft;BSTR;Landkreis Bergstraße;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Landkreis Berg
AQBGebietskoerperschaft;DADI;Landkreis Darmstadt-Dieburg;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Landkreis Darm
AQBGebietskoerperschaft;LKGG;Landkreis Groß-Gerau;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Landkreis Groß
AQBGebietskoerperschaft;LKOF;Landkreis Offenbach;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Landkreis Offe
AQBGebietskoerperschaft;OWK;Odenwaldkreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Odenwaldkreis
AQBGebietskoerperschaft;STDA;Stadt Darmstadt;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Stadt Darmstad
AQBGebietskoerperschaft;STOF;Stadt Offenbach;Info::{Regierungsbezirk::3||Verwaltungsgericht::1||};Stadt Offenbac
AQBGebietskoerperschaft;EVW;Europäischer Verein für Wanderarbeiterfragen e. V.;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};Europäischer V
AQBGebietskoerperschaft;FFM;Stadt Frankfurt;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};Stadt Frankfur
AQBGebietskoerperschaft;HTK;Hoch-Taunus-Kreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};Hoch-Taunus-Kr
AQBGebietskoerperschaft;LAG;LAG;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};LAG
AQBGebietskoerperschaft;MKK;Main-Kinzig-Kreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};Main-Kinzig-Kr
AQBGebietskoerperschaft;MTK;Main-Taunus-Kreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::2||};Main-Taunus-Kr
AQBGebietskoerperschaft;LDK;Lahn-Dill-Kreis;Info::{Regierungsbezirk::2||Verwaltungsgericht::3||};Lahn-Dill-Krei
AQBGebietskoerperschaft;LKGI;Landkreis Gießen;Info::{Regierungsbezirk::2||Verwaltungsgericht::3||};Landkreis Gieß
AQBGebietskoerperschaft;LKMB;Landkreis Marburg-Biedenkopf;Info::{Regierungsbezirk::2||Verwaltungsgericht::3||};Landkreis Marb
AQBGebietskoerperschaft;VBK;Vogelsbergkreis;Info::{Regierungsbezirk::2||Verwaltungsgericht::3||};Vogelsbergkrei
AQBGebietskoerperschaft;WAUK;Wetterau-Kreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::3||};Wetterau-Kreis
AQBGebietskoerperschaft;LKFD;Landkreis Fulda;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Landkreis Fuld
AQBGebietskoerperschaft;LKHR;Landkreis Hersfeld-Rotenburg;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Landkreis Hers
AQBGebietskoerperschaft;LKKS;Landkreis Kassel;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Landkreis Kass
AQBGebietskoerperschaft;LKWF;Landkreis Waldeck-Frankenberg;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Landkreis Wald
AQBGebietskoerperschaft;SEK;Schwalm-Eder-Kreis;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Schwalm-Eder-K
AQBGebietskoerperschaft;STKS;Stadt Kassel;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Stadt Kassel
AQBGebietskoerperschaft;WMK;Werra-Meißner-Kreis;Info::{Regierungsbezirk::1||Verwaltungsgericht::4||};Werra-Meißner-
AQBGebietskoerperschaft;HLT;Hessischer Landkreistag;Info::{Regierungsbezirk::3||Verwaltungsgericht::5||};Hessischer Lan
AQBGebietskoerperschaft;HStT;Hessischer Städtetag;Info::{Regierungsbezirk::3||Verwaltungsgericht::5||};Hessischer Stä
AQBGebietskoerperschaft;LKLW;Landkreis Limburg-Weilburg;Info::{Regierungsbezirk::2||Verwaltungsgericht::5||};Landkreis Limb
AQBGebietskoerperschaft;RTK;Rheingau-Taunus-Kreis;Info::{Regierungsbezirk::3||Verwaltungsgericht::5||};Rheingau-Taunu
AQBGebietskoerperschaft;STWI;Stadt Wiesbaden;Info::{Regierungsbezirk::3||Verwaltungsgericht::5||};Stadt Wiesbade
